penalty,shuffle,avg_reward,final_acc,jsd_shift,phase,pseudo_stable_rounds
3.00,5.00,8.9200,0.9998,0.5627,boundary,946
3.00,7.22,8.9400,0.9994,0.6340,boundary,825
3.00,9.44,9.0400,0.9998,0.0000,transparent,76
3.00,11.67,9.0400,0.9997,0.0000,transparent,0
3.00,13.89,8.9200,0.9996,0.0000,transparent,0
3.00,16.11,8.8200,0.9997,0.0000,transparent,0
3.00,18.33,9.1000,0.9994,0.0000,transparent,7
3.00,20.56,9.0600,0.9998,0.0000,transparent,0
3.00,22.78,9.0400,0.9997,0.0000,transparent,0
3.00,25.00,8.8600,0.9998,0.0000,transparent,0
4.67,5.00,8.9600,0.9955,0.6152,boundary,888
4.67,7.22,9.0000,0.9994,0.5491,boundary,814
4.67,9.44,8.9400,0.9997,0.0000,transparent,100
4.67,11.67,9.0600,0.9997,0.0000,transparent,0
4.67,13.89,8.7800,0.9996,0.0000,transparent,0
4.67,16.11,8.9400,0.9998,0.0000,transparent,0
4.67,18.33,8.8800,0.9999,0.0000,transparent,0
4.67,20.56,9.1400,0.9996,0.0000,transparent,0
4.67,22.78,8.9400,0.9997,0.0000,transparent,0
4.67,25.00,8.9400,0.9998,0.0000,transparent,0
6.33,7.22,8.9800,0.9998,0.5539,boundary,820
6.33,9.44,9.1000,0.9995,0.0000,transparent,100
6.33,11.67,8.9400,0.9996,0.0000,transparent,0
6.33,13.89,9.0800,0.9996,0.0000,transparent,0
6.33,16.11,8.9400,0.9998,0.0000,transparent,23
6.33,18.33,9.0800,0.9993,0.0000,transparent,0
6.33,20.56,9.2200,0.9984,0.0000,transparent,52
6.33,22.78,8.9200,0.9994,0.0000,transparent,0
6.33,25.00,9.0400,0.9997,0.0000,transparent,50
8.00,9.44,9.2000,0.9993,0.1115,boundary,242
8.00,11.67,9.1600,0.9997,0.0000,transparent,22
8.00,13.89,8.7000,0.9997,0.0000,transparent,0
8.00,16.11,8.9600,0.9995,0.0000,transparent,25
8.00,18.33,8.9200,0.9998,0.0000,transparent,0
8.00,20.56,8.9800,0.9998,0.0000,transparent,0
8.00,22.78,9.0400,0.9996,0.0000,transparent,0
8.00,25.00,8.9200,0.9997,0.0000,transparent,0
9.67,11.67,9.0800,0.9997,0.0000,transparent,138
9.67,13.89,9.0600,0.9994,0.0000,transparent,0
9.67,16.11,8.8200,0.9997,0.0000,transparent,0
9.67,18.33,8.9800,0.9998,0.0000,transparent,0
9.67,20.56,8.9800,0.9995,0.0000,transparent,308
9.67,22.78,8.9600,0.9995,0.0000,transparent,0
9.67,25.00,9.0400,0.9997,0.0000,transparent,0
11.33,11.67,9.0600,0.9998,0.0000,transparent,0
11.33,13.89,9.1400,0.9998,0.0000,transparent,0
11.33,16.11,9.0800,0.9997,0.0000,transparent,0
11.33,18.33,8.9800,0.9998,0.0000,transparent,0
11.33,20.56,8.9400,0.9994,0.0000,transparent,0
11.33,22.78,9.0200,0.9995,0.0000,transparent,0
11.33,25.00,9.1000,0.9996,0.0000,transparent,0
13.00,13.89,9.1400,0.9998,0.0000,transparent,0
13.00,16.11,9.0000,0.9998,0.0000,transparent,0
13.00,18.33,8.7600,0.9998,0.0000,transparent,0
13.00,20.56,8.9600,0.9994,0.0000,transparent,130
13.00,22.78,9.0600,0.9997,0.0000,transparent,0
13.00,25.00,9.1800,0.9996,0.0000,transparent,0
14.67,16.11,9.0200,0.9998,0.0000,transparent,44
14.67,18.33,9.0800,0.9998,0.0000,transparent,0
14.67,20.56,9.1400,0.9998,0.0000,transparent,0
14.67,22.78,9.0600,0.9997,0.0000,transparent,0
14.67,25.00,9.0600,0.9997,0.0000,transparent,0
16.33,18.33,8.9400,0.9998,0.0000,transparent,0
16.33,20.56,9.0000,0.9998,0.0000,transparent,0
16.33,22.78,8.9600,0.9998,0.0000,transparent,0
16.33,25.00,9.0200,0.9998,0.0000,transparent,0
18.00,18.33,8.9000,0.9995,0.0000,transparent,0
18.00,20.56,8.9400,0.9997,0.0000,transparent,0
18.00,22.78,9.0600,0.9997,0.0000,transparent,0
18.00,25.00,9.1000,0.9997,0.0000,transparent,0
